country,date,I_sum,I_mean,I_count,vaccination_rate_mean,vaccination_rate_max,vaccination_rate_min,new_cases_sum,new_cases_mean,new_cases_max,people_vaccinated_mean,people_vaccinated_max
United States,2020-01-05,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,,
United States,2020-01-12,0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,,
United States,2020-01-19,0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,,
United States,2020-01-26,1,0.14285714285714285,7,0.0,0.0,0.0,7.0,1.0,7.0,,
United States,2020-02-02,1,0.14285714285714285,7,0.0,0.0,0.0,2.0,0.2857142857142857,2.0,,
United States,2020-02-09,1,0.14285714285714285,7,0.0,0.0,0.0,11.0,1.5714285714285714,11.0,,
United States,2020-02-16,1,0.14285714285714285,7,0.0,0.0,0.0,4.0,0.5714285714285714,4.0,,
United States,2020-02-23,1,0.14285714285714285,7,0.0,0.0,0.0,16.0,2.2857142857142856,16.0,,
United States,2020-03-01,1,0.14285714285714285,7,0.0,0.0,0.0,33.0,4.714285714285714,33.0,,
United States,2020-03-08,1,0.14285714285714285,7,0.0,0.0,0.0,391.0,55.857142857142854,391.0,,
United States,2020-03-15,1,0.14285714285714285,7,0.0,0.0,0.0,3465.0,495.0,3465.0,,
United States,2020-03-22,1,0.14285714285714285,7,0.0,0.0,0.0,27486.0,3926.5714285714284,27486.0,,
United States,2020-03-29,1,0.14285714285714285,7,0.0,0.0,0.0,94894.0,13556.285714285714,94894.0,,
United States,2020-04-05,1,0.14285714285714285,7,0.0,0.0,0.0,176151.0,25164.428571428572,176151.0,,
United States,2020-04-12,1,0.14285714285714285,7,0.0,0.0,0.0,219172.0,31310.285714285714,219172.0,,
United States,2020-04-19,1,0.14285714285714285,7,0.0,0.0,0.0,196150.0,28021.428571428572,196150.0,,
United States,2020-04-26,1,0.14285714285714285,7,0.0,0.0,0.0,205165.0,29309.285714285714,205165.0,,
United States,2020-05-03,1,0.14285714285714285,7,0.0,0.0,0.0,198436.0,28348.0,198436.0,,
United States,2020-05-10,1,0.14285714285714285,7,0.0,0.0,0.0,182246.0,26035.14285714286,182246.0,,
United States,2020-05-17,1,0.14285714285714285,7,0.0,0.0,0.0,169032.0,24147.428571428572,169032.0,,
United States,2020-05-24,1,0.14285714285714285,7,0.0,0.0,0.0,166325.0,23760.714285714286,166325.0,,
United States,2020-05-31,1,0.14285714285714285,7,0.0,0.0,0.0,146436.0,20919.428571428572,146436.0,,
United States,2020-06-07,1,0.14285714285714285,7,0.0,0.0,0.0,149780.0,21397.14285714286,149780.0,,
United States,2020-06-14,1,0.14285714285714285,7,0.0,0.0,0.0,151876.0,21696.571428571428,151876.0,,
United States,2020-06-21,1,0.14285714285714285,7,0.0,0.0,0.0,180021.0,25717.285714285714,180021.0,,
United States,2020-06-28,1,0.14285714285714285,7,0.0,0.0,0.0,258278.0,36896.857142857145,258278.0,,
United States,2020-07-05,1,0.14285714285714285,7,0.0,0.0,0.0,342166.0,48880.857142857145,342166.0,,
United States,2020-07-12,1,0.14285714285714285,7,0.0,0.0,0.0,392205.0,56029.28571428572,392205.0,,
United States,2020-07-19,1,0.14285714285714285,7,0.0,0.0,0.0,466267.0,66609.57142857143,466267.0,,
United States,2020-07-26,1,0.14285714285714285,7,0.0,0.0,0.0,467901.0,66843.0,467901.0,,
United States,2020-08-02,1,0.14285714285714285,7,0.0,0.0,0.0,431250.0,61607.142857142855,431250.0,,
United States,2020-08-09,1,0.14285714285714285,7,0.0,0.0,0.0,375909.0,53701.28571428572,375909.0,,
United States,2020-08-16,1,0.14285714285714285,7,0.0,0.0,0.0,362662.0,51808.857142857145,362662.0,,
United States,2020-08-23,1,0.14285714285714285,7,0.0,0.0,0.0,315788.0,45112.57142857143,315788.0,,
United States,2020-08-30,1,0.14285714285714285,7,0.0,0.0,0.0,294946.0,42135.142857142855,294946.0,,
United States,2020-09-06,1,0.14285714285714285,7,0.0,0.0,0.0,295253.0,42179.0,295253.0,,
United States,2020-09-13,1,0.14285714285714285,7,0.0,0.0,0.0,245621.0,35088.71428571428,245621.0,,
United States,2020-09-20,1,0.14285714285714285,7,0.0,0.0,0.0,280977.0,40139.57142857143,280977.0,,
United States,2020-09-27,1,0.14285714285714285,7,0.0,0.0,0.0,304774.0,43539.142857142855,304774.0,,
United States,2020-10-04,1,0.14285714285714285,7,0.0,0.0,0.0,298348.0,42621.142857142855,298348.0,,
United States,2020-10-11,1,0.14285714285714285,7,0.0,0.0,0.0,334249.0,47749.857142857145,334249.0,,
United States,2020-10-18,1,0.14285714285714285,7,0.0,0.0,0.0,387634.0,55376.28571428572,387634.0,,
United States,2020-10-25,1,0.14285714285714285,7,0.0,0.0,0.0,449438.0,64205.42857142857,449438.0,,
United States,2020-11-01,1,0.14285714285714285,7,0.0,0.0,0.0,559394.0,79913.42857142857,559394.0,,
United States,2020-11-08,1,0.14285714285714285,7,0.0,0.0,0.0,790094.0,112870.57142857143,790094.0,,
United States,2020-11-15,1,0.14285714285714285,7,0.0,0.0,0.0,1004845.0,143549.2857142857,1004845.0,,
United States,2020-11-22,1,0.14285714285714285,7,0.0,0.0,0.0,1175483.0,167926.14285714287,1175483.0,,
United States,2020-11-29,1,0.14285714285714285,7,0.0,0.0,0.0,1162401.0,166057.2857142857,1162401.0,,
United States,2020-12-06,1,0.14285714285714285,7,0.0,0.0,0.0,1280932.0,182990.2857142857,1280932.0,,
United States,2020-12-13,1,0.14285714285714285,7,1.554752924241225e-05,0.00010883270469688574,0.0,1468482.0,209783.14285714287,1468482.0,36817.0,36817.0
United States,2020-12-20,1,0.14285714285714285,7,0.0017392363074581817,0.0035706953033791235,0.00012257240134330247,1517928.0,216846.85714285713,1517928.0,588366.0,1207930.0
United States,2020-12-27,1,0.14285714285714285,7,0.0075070563156348375,0.008970975470219243,0.004692260119085569,1360122.0,194303.14285714287,1360122.0,2539561.0,3034790.0
United States,2021-01-03,1,0.14285714285714285,7,0.015373410174870022,0.01799633921036048,0.010692029145562082,1380995.0,197285.0,1380995.0,5200668.714285715,6087979.0
United States,2021-01-10,1,0.14285714285714285,7,0.026360267214160866,0.03115360337615326,0.019786428358052804,1667151.0,238164.42857142858,1667151.0,8917411.0,10538948.0
United States,2021-01-17,1,0.14285714285714285,7,0.04179828259467526,0.048281811323364066,0.03330058764753502,1589955.0,227136.42857142858,1589955.0,14139935.0,16333247.0
United States,2021-01-24,1,0.14285714285714285,7,0.05989768515469256,0.0677109602718918,0.05018805529894459,1265861.0,180837.2857142857,1265861.0,20262779.285714287,22905931.0
United States,2021-01-31,1,0.14285714285714285,7,0.08041917925977825,0.08839963560716406,0.07026924862919921,1068625.0,152660.7142857143,1068625.0,27204992.57142857,29904700.0
United States,2021-02-07,1,0.14285714285714285,7,0.1007437424989094,0.10877127512803694,0.09071888339448168,857250.0,122464.28571428571,857250.0,34080586.14285714,36796219.0
United States,2021-02-14,1,0.14285714285714285,7,0.12127349832716913,0.12942703785950946,0.11125090904292442,670572.0,95796.0,670572.0,41025594.28571428,43783854.0
United States,2021-02-21,1,0.14285714285714285,7,0.1383075494879752,0.14378025571065306,0.131252862633871,473485.0,67640.71428571429,473485.0,46788041.0,48639402.0
United States,2021-02-28,1,0.14285714285714285,7,0.1563104811007314,0.16623834857170533,0.14559972203245727,465751.0,66535.85714285714,465751.0,52878250.14285714,56236747.0
United States,2021-03-07,1,0.14285714285714285,7,0.18450892682313919,0.19703404585681694,0.1698477857994063,420739.0,60105.57142857143,420739.0,62417498.28571428,66654619.0
United States,2021-03-14,1,0.14285714285714285,7,0.2184106384454266,0.23200956105523898,0.20141468267969584,384000.0,54857.142857142855,384000.0,73886103.42857143,78486481.0
United States,2021-03-21,1,0.14285714285714285,7,0.25398293138802924,0.26795280849331765,0.2364332851884273,379551.0,54221.57142857143,379551.0,85919849.28571428,90645717.0
United States,2021-03-28,1,0.14285714285714285,7,0.2902446736598063,0.3039210108623535,0.27268198370098334,417818.0,59688.28571428572,417818.0,98186828.85714285,102813395.0
United States,2021-04-04,1,0.14285714285714285,7,0.3270105368709945,0.3404587218837564,0.3086652589429108,449960.0,64280.0,449960.0,110624347.42857143,115173732.0
United States,2021-04-11,1,0.14285714285714285,7,0.3659849642584106,0.3822130333107003,0.34558413421654594,455950.0,65135.71428571428,455950.0,123809000.85714285,129298792.0
United States,2021-04-18,1,0.14285714285714285,7,0.4014438835890739,0.4124936900265789,0.38706889573419545,467217.0,66745.28571428571,467217.0,135804393.57142857,139542431.0
United States,2021-04-25,1,0.14285714285714285,7,0.42729946863758667,0.43651615731569554,0.4157216407931546,406095.0,58013.57142857143,406095.0,144551075.7142857,147668988.0
United States,2021-05-02,1,0.14285714285714285,7,0.4486171683661549,0.455719360973094,0.4393015319974596,338407.0,48343.857142857145,338407.0,151762637.2857143,154165237.0
United States,2021-05-09,1,0.14285714285714285,7,0.46428724889530404,0.4692584131165908,0.4576235357172519,292324.0,41760.57142857143,292324.0,157063666.57142857,158745361.0
United States,2021-05-16,1,0.14285714285714285,7,0.4776596100897738,0.48465706284731164,0.4706902444038996,233350.0,33335.71428571428,233350.0,161587400.7142857,163954568.0
United States,2021-05-23,1,0.14285714285714285,7,0.495409220479679,0.5018216005862144,0.4872879339308359,181609.0,25944.14285714286,181609.0,167591913.85714287,169761157.0
United States,2021-05-30,1,0.14285714285714285,7,0.5090369898646917,0.5130184039571083,0.5037066053792638,147811.0,21115.85714285714,147811.0,172202050.0,173548922.0
United States,2021-06-06,1,0.14285714285714285,7,0.517476534763642,0.5207451535289311,0.513283691249672,99112.0,14158.857142857143,99112.0,175057062.42857143,176162803.0
United States,2021-06-13,1,0.14285714285714285,7,0.5252196025478391,0.5278426232207211,0.5218514503727832,99565.0,14223.57142857143,99565.0,177676463.7142857,178563805.0
United States,2021-06-20,1,0.14285714285714285,7,0.5318021938305728,0.5340988261853172,0.5288262264653895,80627.0,11518.142857142857,80627.0,179903287.57142857,180680215.0
United States,2021-06-27,1,0.14285714285714285,7,0.5377392372736626,0.5399503288682709,0.5349928287533399,87637.0,12519.57142857143,87637.0,181911729.14285713,182659719.0
United States,2021-07-04,1,0.14285714285714285,7,0.543224387600741,0.5449584009991716,0.5407661322247865,97037.0,13862.42857142857,97037.0,183767299.85714287,184353899.0
United States,2021-07-11,1,0.14285714285714285,7,0.5479714798187741,0.5499799349584991,0.545555321055799,286510.0,40930.0,286510.0,185373193.0,186052633.0
United States,2021-07-18,1,0.14285714285714285,7,0.5532999306285521,0.5554394867814186,0.5507943755783207,222579.0,31797.0,222579.0,187175753.85714287,187899544.0
United States,2021-07-25,1,0.14285714285714285,7,0.5598606860299792,0.5628435929216866,0.5564426619993004,359027.0,51289.57142857143,359027.0,189395190.85714287,190404278.0
United States,2021-08-01,1,0.14285714285714285,7,0.5683921432326788,0.5719402032557548,0.5641665826361639,547086.0,78155.14285714286,547086.0,192281296.2857143,193481569.0
United States,2021-08-08,1,0.14285714285714285,7,0.5781629505488758,0.5820589784400748,0.5734439462470905,743056.0,106150.85714285714,743056.0,195586661.2857143,196904648.0
United States,2021-08-15,1,0.14285714285714285,7,0.5880345437932881,0.5916373827065036,0.5836076592258208,886464.0,126637.71428571429,886464.0,198926121.14285713,200144925.0
United States,2021-08-22,1,0.14285714285714285,7,0.5971517966111117,0.6004529529847918,0.5930175216368296,1019966.0,145709.42857142858,1019966.0,202010395.2857143,203127143.0
United States,2021-08-29,1,0.14285714285714285,7,0.6057522124289937,0.6090127810394645,0.6017591168917581,1094890.0,156412.85714285713,1094890.0,204919828.7142857,206022846.0
United States,2021-09-05,1,0.14285714285714285,7,0.6137593166764742,0.6165190865196974,0.6102523570792499,1144251.0,163464.42857142858,1144251.0,207628550.85714287,208562153.0
United States,2021-09-12,1,0.14285714285714285,7,0.6199220110730808,0.6225666134074088,0.6167599864419228,1022570.0,146081.42857142858,1022570.0,209713327.85714287,210607970.0
United States,2021-09-19,1,0.14285714285714285,7,0.6262401077055733,0.6283750642525917,0.6235670986244412,1037454.0,148207.7142857143,1037454.0,211850675.85714287,212572910.0
United States,2021-09-26,1,0.14285714285714285,7,0.6314390094257766,0.6333598368376733,0.629174050669731,852294.0,121756.28571428571,852294.0,213609411.57142857,214259208.0
United States,2021-10-03,1,0.14285714285714285,7,0.6366387118118526,0.6385284635907025,0.6342319735416483,755688.0,107955.42857142857,755688.0,215368418.14285713,216007702.0
United States,2021-10-10,1,0.14285714285714285,7,0.6413342320261594,0.6429835809206174,0.6392525260940725,681984.0,97426.28571428571,681984.0,216956865.0,217514823.0
United States,2021-10-17,1,0.14285714285714285,7,0.6455522124789932,0.6470650098358255,0.6436399854685563,582237.0,83176.71428571429,582237.0,218383765.0,218895529.0
United States,2021-10-24,1,0.14285714285714285,7,0.6495489333941398,0.6511778467279846,0.6477171340307645,508543.0,72649.0,508543.0,219735815.14285713,220286860.0
United States,2021-10-31,1,0.14285714285714285,7,0.6544912850458885,0.6563630953214276,0.6520516417731426,526186.0,75169.42857142857,526186.0,221407762.57142857,222040977.0
United States,2021-11-07,1,0.14285714285714285,7,0.6601253744278482,0.6631079945832015,0.6571921033304646,510211.0,72887.28571428571,510211.0,223313717.85714287,224322708.0
United States,2021-11-14,1,0.14285714285714285,7,0.6693062928513335,0.6735184988816219,0.6644949856255814,557180.0,79597.14285714286,557180.0,226419529.42857143,227844476.0
United States,2021-11-21,1,0.14285714285714285,7,0.6792085026972507,0.6829380719000927,0.6748659084829313,676876.0,96696.57142857143,676876.0,229769346.57142857,231031022.0
United States,2021-11-28,1,0.14285714285714285,7,0.6870791086159134,0.688955340712315,0.6843674496701432,592394.0,84627.71428571429,592394.0,232431892.7142857,233066603.0
United States,2021-12-05,1,0.14285714285714285,7,0.6936139327469856,0.6965674341710086,0.6899777509142928,751017.0,107288.14285714286,751017.0,234642557.42857143,235641697.0
United States,2021-12-12,1,0.14285714285714285,7,0.7010242596725774,0.7036660951488891,0.6976960757581806,834969.0,119281.28571428571,834969.0,237149395.85714287,238043102.0
United States,2021-12-19,1,0.14285714285714285,7,0.707863670446143,0.7105507148284104,0.7046702990703925,899109.0,128444.14285714286,899109.0,239463099.14285713,240372099.0
United States,2021-12-26,1,0.14285714285714285,7,0.7147199543239376,0.7162464398577769,0.7118335466730638,1417419.0,202488.42857142858,1417419.0,241782510.42857143,242298905.0
United States,2022-01-02,1,0.14285714285714285,7,0.7203506142715334,0.7220824617336442,0.7173945292642768,2712038.0,387434.0,2712038.0,243687305.57142857,244273172.0
United States,2022-01-09,1,0.14285714285714285,7,0.7261982229987832,0.7287244374244554,0.7230756218714404,4682897.0,668985.2857142857,4682897.0,245665492.2857143,246520085.0
United States,2022-01-16,1,0.14285714285714285,7,0.7325060752465652,0.7347183357457813,0.7296871473438447,5650933.0,807276.1428571428,5650933.0,247799374.7142857,248547760.0
United States,2022-01-23,1,0.14285714285714285,7,0.7374300069380232,0.7390938881714503,0.7353452567019922,5042888.0,720412.5714285715,5042888.0,249465090.85714287,250027965.0
United States,2022-01-30,1,0.14285714285714285,7,0.7413668033334619,0.7426837120413093,0.7396881891723055,3789262.0,541323.1428571428,3789262.0,250796869.14285713,251242366.0
United States,2022-02-06,1,0.14285714285714285,7,0.7443560289822668,0.7453364135163426,0.7431509533646791,2188710.0,312672.85714285716,2188710.0,251808093.85714287,252139748.0
United States,2022-02-13,1,0.14285714285714285,7,0.7468103435280914,0.7476871077091948,0.7457150000974312,1222112.0,174587.42857142858,1222112.0,252638363.57142857,252934964.0
United States,2022-02-20,1,0.14285714285714285,7,0.7488282136707893,0.7495565016291827,0.7479496843085948,708156.0,101165.14285714286,708156.0,253320988.57142857,253567361.0
United States,2022-02-27,1,0.14285714285714285,7,0.7505356919211232,0.7511371697766781,0.7497915278902126,458272.0,65467.42857142857,458272.0,253898611.14285713,254102085.0
United States,2022-03-06,1,0.14285714285714285,7,0.7519385881741771,0.7524103649149917,0.7513619710784352,332509.0,47501.28571428572,332509.0,254373196.7142857,254532794.0
United States,2022-03-13,1,0.14285714285714285,7,0.753052181803693,0.7534381462505337,0.7525784249350947,234332.0,33476.0,234332.0,254749914.14285713,254880482.0
United States,2022-03-20,1,0.14285714285714285,7,0.7540481708764484,0.7544272950354148,0.7535909855955006,208740.0,29820.0,208740.0,255086847.14285713,255215101.0
United States,2022-03-27,1,0.14285714285714285,7,0.7550192738518634,0.7553744325103263,0.75458111874333,193469.0,27638.428571428572,193469.0,255415361.42857143,255535508.0
United States,2022-04-03,1,0.14285714285714285,7,0.7560448254849745,0.7565105676712931,0.7555231836452111,194464.0,27780.571428571428,194464.0,255762295.14285713,255919851.0
United States,2022-04-10,1,0.14285714285714285,7,0.7572594140773088,0.757704245202079,0.756715522087662,201192.0,28741.714285714286,201192.0,256173178.14285713,256323660.0
United States,2022-04-17,1,0.14285714285714285,7,0.7584250961738225,0.7588115500572384,0.7578912918985073,247939.0,35419.857142857145,247939.0,256567516.57142857,256698250.0
United States,2022-04-24,1,0.14285714285714285,7,0.7594798062337237,0.7598556960572889,0.7589871893764382,300721.0,42960.142857142855,300721.0,256924314.2857143,257051474.0
