country,date,I_sum,I_mean,I_count,vaccination_rate_mean,vaccination_rate_max,vaccination_rate_min,new_cases_sum,new_cases_mean,new_cases_max,people_vaccinated_mean,people_vaccinated_max
United States,2022-05-01,1,0.14285714285714285,7,0.7604533416117905,0.760812845656241,0.7600034864775844,378549.0,54078.42857142857,378549.0,257253651.42857143,257375268.0
United States,2022-05-08,1,0.14285714285714285,7,0.7613690571741109,0.7616889493724577,0.7609537750963481,465658.0,66522.57142857143,465658.0,257563428.7142857,257671645.0
United States,2022-05-15,1,0.14285714285714285,7,0.7622577418173772,0.7626029673204271,0.7618280726691373,604955.0,86422.14285714286,604955.0,257864061.7142857,257980848.0
United States,2022-05-22,1,0.14285714285714285,7,0.7631970529522977,0.7635596114357033,0.7627495132458243,734495.0,104927.85714285714,734495.0,258181821.14285713,258304471.0
United States,2022-05-29,1,0.14285714285714285,7,0.7641420063323279,0.7644652903810394,0.7637172070568974,740720.0,105817.14285714286,740720.0,258501489.2857143,258610853.0
United States,2022-06-05,1,0.14285714285714285,7,0.7648878658661287,0.7651970504253015,0.764482609848047,675627.0,96518.14285714286,675627.0,258753806.0,258858400.0
United States,2022-06-12,1,0.14285714285714285,7,0.7656988120185988,0.7659830154647026,0.7653305986213196,741044.0,105863.42857142857,741044.0,259028140.85714287,259124284.0
United States,2022-06-19,1,0.14285714285714285,7,0.7664445123482677,0.7667003647901284,0.7661023805573407,672256.0,96036.57142857143,672256.0,259280403.7142857,259366956.0
United States,2022-06-26,1,0.14285714285714285,7,0.7673553246767006,0.7678467130861885,0.7668096468136485,709637.0,101376.71428571429,709637.0,259588522.2857143,259754754.0
United States,2022-07-03,1,0.14285714285714285,7,0.7686410496447165,0.7690601902056442,0.7680455366654565,773772.0,110538.85714285714,773772.0,260023470.0,260165261.0
United States,2022-07-10,1,0.14285714285714285,7,0.7696361920217571,0.7700727449539604,0.7690719197917658,743769.0,106252.71428571429,743769.0,260360116.57142857,260507798.0
United States,2022-07-17,1,0.14285714285714285,7,0.7708389412320168,0.7712958026149032,0.7702502022407671,888229.0,126889.85714285714,888229.0,260766994.42857143,260921546.0
United States,2022-07-24,1,0.14285714285714285,7,0.7720761845300921,0.7725119815593879,0.7714954361504709,908695.0,129813.57142857143,908695.0,261185541.2857143,261332967.0
United States,2022-07-31,1,0.14285714285714285,7,0.7732132782941873,0.7735900629547697,0.7726951499249212,947983.0,135426.14285714287,947983.0,261570208.57142857,261697671.0
United States,2022-08-07,1,0.14285714285714285,7,0.7742219407759683,0.774567384604048,0.7737514423134225,788051.0,112578.71428571429,788051.0,261911428.85714287,262028289.0
United States,2022-08-14,1,0.14285714285714285,7,0.7751434522977326,0.7754589602592162,0.7747175546404796,701618.0,100231.14285714286,701618.0,262223166.85714287,262329900.0
United States,2022-08-21,1,0.14285714285714285,7,0.7759902497849147,0.7762753252642609,0.7755963217531417,644925.0,92132.14285714286,644925.0,262509629.85714287,262606068.0
United States,2022-08-28,1,0.14285714285714285,7,0.776753787311739,0.7770109784196426,0.7763981548415096,610329.0,87189.85714285714,610329.0,262767926.85714287,262854932.0
United States,2022-09-04,1,0.14285714285714285,7,0.7773974078101151,0.7775867272827713,0.7771161072000929,580363.0,82909.0,580363.0,262985657.14285713,263049702.0
United States,2022-09-11,1,0.14285714285714285,7,0.7780222836055548,0.7783988710557138,0.7775982026490325,449509.0,64215.57142857143,449509.0,263197046.2857143,263324442.0
United States,2022-09-18,1,0.14285714285714285,7,0.7790918266764193,0.7795049255038851,0.7785760918589294,406901.0,58128.71428571428,406901.0,263558861.85714287,263698609.0
United States,2022-09-25,1,0.14285714285714285,7,0.7802500515162611,0.7806927441536999,0.7796917120683631,368725.0,52675.0,368725.0,263950677.57142857,264100436.0
United States,2022-10-02,1,0.14285714285714285,7,0.7814555718074586,0.7818853042995176,0.7808926792058465,321234.0,45890.57142857143,321234.0,264358492.85714287,264503867.0
United States,2022-10-09,1,0.14285714285714285,7,0.782660958232052,0.7831127871596599,0.7820804889875267,280584.0,40083.42857142857,280584.0,264766262.85714287,264919112.0
United States,2022-10-16,1,0.14285714285714285,7,0.7838980773762418,0.7843526972325177,0.783305805066765,251280.0,35897.142857142855,251280.0,265184767.7142857,265338561.0
United States,2022-10-23,1,0.14285714285714285,7,0.7851607895347931,0.7856113900146033,0.7845644801125813,283734.0,40533.42857142857,283734.0,265611930.42857143,265764364.0
United States,2022-10-30,1,0.14285714285714285,7,0.7864115795420127,0.7868499196144977,0.785815389628473,255156.0,36450.857142857145,255156.0,266035060.0,266183346.0
United States,2022-11-06,1,0.14285714285714285,7,0.7875563214388214,0.7879726225074866,0.7870199572286317,267304.0,38186.28571428572,267304.0,266422314.57142857,266563145.0
United States,2022-11-13,1,0.14285714285714285,7,0.7886255971987695,0.7889850737942317,0.7881471444417181,282897.0,40413.857142857145,282897.0,266784039.7142857,266905647.0
United States,2022-11-20,1,0.14285714285714285,7,0.7896115977958432,0.7899681685991791,0.7891443632291475,274984.0,39283.42857142857,274984.0,267117593.7142857,267238218.0
United States,2022-11-27,1,0.14285714285714285,7,0.7903931410143816,0.790580696572823,0.7901239432967213,300171.0,42881.57142857143,300171.0,267381981.85714287,267445430.0
United States,2022-12-04,1,0.14285714285714285,7,0.7910467166273614,0.7913232757413808,0.7906896268270013,302599.0,43228.42857142857,302599.0,267603079.85714287,267696637.0
United States,2022-12-11,1,0.14285714285714285,7,0.7917856991338728,0.7920608059852673,0.791439885800182,462223.0,66031.85714285714,462223.0,267853070.14285713,267946136.0
United States,2022-12-18,1,0.14285714285714285,7,0.7925186500419333,0.7927795091792524,0.7921825063533682,446014.0,63716.28571428572,446014.0,268101020.0,268189266.0
United States,2022-12-25,1,0.14285714285714285,7,0.7931687696161449,0.7933131166664364,0.7929002990855274,508009.0,72572.71428571429,508009.0,268320948.85714287,268369780.0
United States,2023-01-01,1,0.14285714285714285,7,0.7936519250183235,0.7938266969494941,0.7933682202992217,392203.0,56029.0,392203.0,268484395.4285714,268543519.0
United States,2023-01-08,1,0.14285714285714285,7,0.7941573913804515,0.7943695479890476,0.7938864061002172,471714.0,67387.71428571429,471714.0,268655389.5714286,268727160.0
United States,2023-01-15,1,0.14285714285714285,7,0.7946914549431326,0.794868578619159,0.7944561275878163,448092.0,64013.142857142855,448092.0,268836057.85714287,268895977.0
United States,2023-01-22,1,0.14285714285714285,7,0.7951094151975653,0.795251197245477,0.7949181307996418,308025.0,44003.57142857143,308025.0,268977449.5714286,269025413.0
United States,2023-01-29,1,0.14285714285714285,7,0.7954764309743722,0.7955998390918348,0.7953108945720205,294867.0,42123.857142857145,294867.0,269101607.28571427,269143355.0
United States,2023-02-05,1,0.14285714285714285,7,0.7958000093606962,0.7959111933879567,0.7956539672298066,285402.0,40771.71428571428,285402.0,269211070.5714286,269248683.0
United States,2023-02-12,1,0.14285714285714285,7,0.7961013882721922,0.7962009833366094,0.7959641420640174,278228.0,39746.857142857145,278228.0,269313024.0,269346716.0
United States,2023-02-19,1,0.14285714285714285,7,0.7963651080163803,0.7964545055705129,0.7962447771416474,254372.0,36338.857142857145,254372.0,269402237.71428573,269432480.0
United States,2023-02-26,1,0.14285714285714285,7,0.7966034429362256,0.7966873502704143,0.79648855920764,267168.0,38166.857142857145,267168.0,269482864.0,269511249.0
United States,2023-03-05,1,0.14285714285714285,7,0.7968447866874765,0.7969301036327853,0.7967297488222644,227828.0,32546.85714285714,227828.0,269564508.14285713,269593370.0
United States,2023-03-12,1,0.14285714285714285,7,0.7970801634509719,0.7971629099041031,0.7969703679202252,170593.0,24370.428571428572,170593.0,269644133.71428573,269672126.0
United States,2023-03-19,1,0.14285714285714285,7,0.7973067683624036,0.7973868894253808,0.797200605388534,126613.0,18087.571428571428,126613.0,269720791.85714287,269747896.0
United States,2023-03-26,1,0.14285714285714285,7,0.7975303669761827,0.7976073512532401,0.7974266334489202,152968.0,21852.571428571428,152968.0,269796433.0,269822476.0
United States,2023-04-02,1,0.14285714285714285,7,0.7977443402855096,0.7978168993633673,0.7976431873854355,176358.0,25194.0,176358.0,269868818.0,269893364.0
United States,2023-04-09,1,0.14285714285714285,7,0.7979468728565297,0.7980151524259717,0.7978513609346891,103472.0,14781.714285714286,103472.0,269937332.71428573,269960431.0
United States,2023-04-16,1,0.14285714285714285,7,0.7981406986084737,0.79820768258567,0.7980490700850338,104057.0,14865.285714285714,104057.0,270002902.0,270025562.0
United States,2023-04-23,1,0.14285714285714285,7,0.7983140626176928,0.7983750627154483,0.7982377899028695,98467.0,14066.714285714286,98467.0,270061549.28571427,270082185.0
United States,2023-04-30,1,0.14285714285714285,7,0.7985000776544547,0.7985711874257323,0.798406745604574,86484.0,12354.857142857143,86484.0,270124476.28571427,270148532.0
United States,2023-05-07,1,0.14285714285714285,7,0.7987056308810597,0.7987787520297387,0.7986063909643214,77165.0,11023.57142857143,77165.0,270194012.85714287,270218749.0
United States,2023-05-14,1,0.14285714285714285,7,0.7988030578976966,0.7988036774002469,0.798799340882394,93260.0,13322.857142857143,93260.0,270226971.4285714,270227181.0
United States,2023-05-21,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2023-05-28,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2023-06-04,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2023-06-11,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2023-06-18,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2023-06-25,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2023-07-02,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2023-07-09,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2023-07-16,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2023-07-23,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2023-07-30,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2023-08-06,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2023-08-13,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2023-08-20,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2023-08-27,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2023-09-03,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2023-09-10,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2023-09-17,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2023-09-24,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2023-10-01,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2023-10-08,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2023-10-15,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2023-10-22,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2023-10-29,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2023-11-05,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2023-11-12,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2023-11-19,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2023-11-26,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2023-12-03,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2023-12-10,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2023-12-17,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2023-12-24,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2023-12-31,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2024-01-07,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2024-01-14,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2024-01-21,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2024-01-28,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2024-02-04,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2024-02-11,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2024-02-18,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2024-02-25,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2024-03-03,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2024-03-10,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2024-03-17,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2024-03-24,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2024-03-31,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2024-04-07,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2024-04-14,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2024-04-21,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2024-04-28,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2024-05-05,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2024-05-12,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2024-05-19,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2024-05-26,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2024-06-02,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2024-06-09,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2024-06-16,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2024-06-23,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2024-06-30,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2024-07-07,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2024-07-14,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2024-07-21,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2024-07-28,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
United States,2024-08-04,0,0.0,7,0.7988036774002468,0.7988036774002469,0.7988036774002469,0.0,0.0,0.0,270227181.0,270227181.0
